ID_a,ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_4,BILL_AMT1,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month
13150,13151,320000,1,1,1,41,0,0,0,321281,27000,17000,7030,7000,10000,30000,0
3062,3063,150000,1,2,2,26,0,0,0,10111,1158,1181,1500,836,1200,2000,0
22073,22074,400000,2,2,2,29,0,-1,-1,52875,55544,994,5030,0,500,150,0
14335,14336,390000,1,1,2,41,-1,-1,-1,6782,1466,3273,6965,4893,7777,7271,0
11274,11275,230000,2,1,2,31,0,0,0,20356,1676,1700,2007,1000,1000,1000,0
15726,15727,20000,2,2,1,22,2,0,0,14414,1554,1578,1592,1435,0,1663,1
27838,27839,80000,2,1,2,26,0,-1,2,1238,376,2281,0,0,0,35893,0
15340,15341,30000,2,2,1,43,-1,-1,0,661,25166,1437,1451,1166,2900,600,0
19609,19610,350000,2,2,1,38,0,0,0,62862,24000,6000,5000,3000,6000,5000,0
2247,2248,280000,1,2,1,36,1,2,2,168708,8000,6100,0,7000,14000,7000,1
6357,6358,50000,2,1,1,40,-1,2,-1,465,0,760,600,0,3000,0,1
1135,1136,60000,2,2,2,31,0,0,0,59643,3200,2535,2331,0,1073,2134,0
21837,21838,40000,2,5,1,24,0,0,0,40848,1650,2300,1600,1330,1500,1500,0
26565,26566,210000,2,3,1,54,0,0,0,94343,3500,3500,4500,3600,3694,3728,0
19545,19546,160000,2,3,1,28,2,2,2,132528,7000,5000,0,3770,4000,4000,0
6491,6492,300000,1,2,1,38,0,0,2,181387,8000,14500,0,15150,7700,0,0
4714,4715,160000,2,2,2,35,0,0,0,124459,10000,5000,4854,10000,6000,4000,0
18943,18944,470000,2,2,2,30,0,0,0,216031,7513,5552,1781,3021,3008,3015,0
23266,23267,440000,2,2,1,39,0,0,0,58639,30000,2000,24534,5000,20000,20839,0
24654,24655,160000,1,1,1,39,-2,-2,-2,4138,35,0,0,2920,0,12140,0
9976,9977,110000,2,1,2,32,1,-1,0,0,1670,10200,0,0,0,0,0
7003,7004,20000,1,3,2,58,0,0,-2,12066,0,0,0,0,0,0,0
9929,9930,160000,2,1,2,32,1,-2,-2,0,0,0,0,0,0,0,0
18456,18457,130000,2,2,2,27,-1,-1,-1,3359,0,382,2898,1900,500,500,0
15584,15585,290000,1,2,1,49,-2,-2,-2,4040,5457,3131,13526,2698,2544,1988,0
28727,28728,60000,2,1,2,28,0,0,-1,38991,10008,2950,4556,19938,800,900,0
10130,10131,470000,1,1,1,38,0,0,0,156454,5526,5484,5504,5655,9471,5269,0
7482,7483,70000,2,3,2,26,0,0,0,28995,1600,2000,7000,5000,1500,1500,0
22696,22697,80000,2,2,2,36,-2,-2,-2,3966,0,0,0,0,0,0,0
29956,29957,150000,1,1,2,30,0,0,-1,2384,2000,2000,2000,1000,3000,0,0
18419,18420,30000,2,2,2,22,2,2,2,29412,0,4000,1000,0,1100,1091,1
22268,22269,130000,2,1,2,30,-1,-1,-1,1493,1492,1310,1310,2046,574,1995,1
8251,8252,30000,2,2,1,35,0,0,0,22206,2000,1409,1068,3000,0,3450,0
6306,6307,360000,1,1,2,35,-1,-1,-1,15798,16713,15766,38944,15881,15809,30594,0
24601,24602,310000,1,2,2,46,2,0,0,102064,5030,4000,3633,3671,12600,0,1
12255,12256,120000,2,2,2,28,-1,2,-1,2049,0,590,3617,2001,0,204,1
13132,13133,200000,2,1,2,38,-2,-2,-2,0,0,0,0,0,0,0,0
28104,28105,50000,2,2,2,35,1,2,0,31507,0,3467,1229,3325,2000,2167,0
26517,26518,80000,2,1,1,48,-1,-1,-2,1198,1150,0,0,0,7685,0,1
2458,2459,80000,2,2,2,25,1,2,2,28789,2998,1183,1400,1139,0,1178,0
29828,29829,80000,1,2,2,37,0,0,2,47765,3000,5000,0,4078,0,2500,1
9761,9762,360000,1,2,1,33,1,2,7,296148,14906,97225,0,0,0,0,0
10853,10854,120000,2,1,2,28,0,0,2,75982,3451,6275,0,2898,2926,6210,1
15133,15134,240000,1,2,1,54,0,0,2,14332,2000,234000,30,7046,7023,10005,0
19524,19525,240000,2,2,1,32,0,0,-2,24615,5000,0,0,0,0,0,0
5217,5218,50000,2,2,1,34,0,0,-1,10745,1200,1000,19206,1500,0,345,0
27685,27686,30000,2,2,2,24,0,0,0,20367,2000,1696,3200,1500,0,4306,0
14275,14276,500000,2,2,1,42,0,0,0,431195,17624,14783,3000,3000,2853,2385,0
23631,23632,350000,2,2,1,43,-2,-2,-2,2124,3048,2460,4616,0,430,430,0
19603,19604,360000,2,2,1,48,-2,-2,-2,2500,0,0,0,0,0,0,1
15538,15539,230000,1,2,2,31,0,0,0,100074,9000,10000,6000,3405,3000,1286,0
26608,26609,50000,1,2,2,24,-1,-1,-1,999,594,0,2643,0,13039,128,0
12798,12799,100000,2,1,2,30,1,2,0,105033,0,3509,3047,3500,3000,2500,0
13314,13315,230000,2,2,1,54,-2,-2,-2,0,880,0,0,0,0,1740,0
10621,10622,20000,2,1,2,24,0,0,0,24146,2024,2000,1005,1188,2002,1015,0
25500,25501,140000,2,3,2,29,0,0,0,177535,14500,0,5000,8000,10000,9472,0
3472,3473,200000,2,2,2,30,0,0,0,185070,7022,6501,6500,6504,7008,8009,0
4680,4681,220000,2,1,2,29,0,0,0,224852,10235,8000,7000,7000,7000,7000,0
26876,26877,260000,1,1,1,40,0,0,-2,34471,0,0,0,0,0,0,0
16938,16939,90000,1,3,1,55,0,0,0,30789,1514,1550,1600,2000,2000,2500,0
9043,9044,60000,1,1,2,31,1,-2,-1,0,0,0,4400,0,3110,0,1
21048,21049,100000,1,2,1,38,-1,-1,2,7798,864,2438,821,1,3110,2206,1
2146,2147,150000,2,3,0,55,-1,-1,-1,1080,17498,9160,2939,3396,1870,6800,0
22805,22806,30000,2,2,3,45,-1,2,2,5239,0,3048,0,8314,0,4132,1
27614,27615,190000,2,2,2,24,0,-1,0,15740,106602,3700,3800,4000,4075,10000,0
12796,12797,20000,1,3,2,28,1,2,0,5653,0,1200,350,500,500,300,1
17545,17546,20000,2,3,2,48,0,0,0,17332,1580,1367,1178,712,742,2000,0
21178,21179,20000,1,2,3,49,0,0,0,16336,1294,2316,1256,1000,1000,800,1
19179,19180,180000,2,2,1,34,0,0,0,47517,1526,3006,5020,5000,2000,935,0
610,611,220000,1,1,2,43,0,0,-1,44177,1006,32906,18900,13580,33150,0,0
7946,7947,20000,2,2,1,50,7,6,4,22858,0,0,0,0,0,994,1
14224,14225,360000,2,2,2,44,-1,-1,-1,10311,2758,1397,298,7950,60097,1200,0
6518,6519,20000,1,3,2,22,0,0,0,18535,5109,1600,2400,3800,739,2000,1
23813,23814,70000,2,2,2,55,0,0,0,57867,1920,2230,2004,1537,1589,1598,0
5351,5352,500000,1,1,1,36,-1,-1,-1,25334,6867,2929,0,39194,0,0,0
643,644,370000,1,2,2,28,0,0,0,276436,20000,13000,5000,10000,4000,6000,0
1464,1465,90000,2,2,2,24,-1,0,0,17524,5000,5000,5000,5000,3600,2000,0
9619,9620,310000,1,1,2,37,-2,-2,-2,0,0,0,0,0,0,0,1
12827,12828,30000,1,2,3,49,0,0,0,12939,1405,1631,300,375,54,1000,0
25035,25036,10000,1,3,2,61,0,0,0,7700,1293,1235,1000,199,193,197,1
22174,22175,50000,2,3,1,29,0,0,0,47425,2100,2100,2105,2000,1800,3500,0
23477,23478,100000,2,2,2,30,1,2,0,31708,0,1850,3200,1500,0,1500,1
7858,7859,200000,1,2,2,30,-1,-1,-1,416,416,416,416,416,0,832,0
19597,19598,210000,2,1,2,32,1,-1,-1,15207,16529,16920,16266,0,19136,0,0
5333,5334,580000,2,1,1,31,0,0,0,484798,19000,20036,20000,20000,20056,16987,0
28857,28858,290000,2,1,1,30,0,0,0,216328,8000,8600,6700,2600,3500,0,0
21911,21912,130000,2,1,2,24,0,0,0,16078,4176,0,1000,1292,390,2165,0
11854,11855,70000,2,2,1,27,2,2,2,31455,4000,1000,2000,0,1500,3000,1
25479,25480,110000,2,1,2,29,0,0,2,107336,5320,7845,4000,4000,3500,9500,0
22184,22185,360000,2,3,2,29,-2,-2,-2,3307,0,0,0,0,1131,3409,0
6545,6546,200000,2,2,1,60,-1,-1,-1,396,396,461,396,546,396,396,0
20030,20031,200000,2,0,2,30,-1,-1,-1,17160,2880,0,9470,5834,7809,2886,0
11660,11661,80000,2,2,1,39,3,2,0,13683,0,1200,1200,0,1600,2200,1
26861,26862,340000,1,2,1,39,0,0,0,148624,4000,4000,4000,4500,5000,1500,0
24359,24360,90000,1,2,2,38,2,0,0,89094,3000,4500,3500,2500,3500,3000,1
22739,22740,140000,2,1,2,30,-1,0,0,13626,8399,6923,5330,2074,5588,20290,0
6270,6271,50000,2,1,1,55,0,0,0,25043,1775,1815,695,719,724,750,0
25490,25491,20000,2,1,2,22,1,2,0,18761,0,1634,1610,710,717,722,0
16844,16845,240000,1,1,1,36,1,-2,-2,0,0,0,0,0,0,0,1
19788,19789,260000,2,1,1,41,1,-1,-1,0,5848,0,8839,62140,6647,7573,0
22140,22141,230000,2,1,2,25,0,0,0,50757,3000,3000,2000,2500,2500,2000,0
12250,12251,340000,2,2,1,39,-2,-2,-2,93767,65758,359,5674,3692,3406,2622,0
29352,29353,90000,1,3,2,28,0,0,0,15940,4400,0,1400,1000,1000,1000,1
29917,29918,30000,1,1,2,33,-1,3,-1,31724,0,0,31200,541,0,0,1
26281,26282,260000,2,2,2,29,0,0,0,16496,8027,3000,3000,3000,1000,2000,0
14468,14469,60000,1,2,1,37,0,0,0,30010,5000,5000,5000,5000,0,10000,0
23039,23040,220000,2,1,1,41,8,7,5,246915,0,0,0,0,0,0,1
360,361,500000,2,2,2,23,4,3,0,507726,10000,0,14000,16500,16000,19000,1
21065,21066,150000,1,1,1,37,0,0,0,112695,3515,5002,5189,14002,8,4009,0
14462,14463,50000,2,2,1,32,0,0,0,46610,2021,1500,700,1700,700,623,0
2910,2911,50000,1,2,2,40,0,0,0,40561,18280,2284,311,322,323,334,0
15937,15938,50000,2,2,2,26,1,2,2,18253,2900,700,1000,2970,0,0,0
2199,2200,20000,1,2,1,37,0,0,-1,17219,2000,19400,0,0,17666,0,1
24153,24154,230000,1,1,2,29,0,0,2,41154,4000,2500,0,3000,3000,5000,0
6871,6872,360000,1,1,1,58,-1,-1,-1,5619,15008,43065,4650,12132,13953,2200,0
6405,6406,180000,1,1,2,38,1,-2,-2,3999,2183,5828,0,2165,645,4390,0
26993,26994,180000,1,1,1,45,1,-2,-2,0,0,0,0,0,0,0,0
27953,27954,50000,2,1,2,25,0,0,0,44641,1870,2500,3017,1060,1300,2000,0
15196,15197,150000,2,2,2,26,0,0,0,127487,6000,4500,5400,3900,4500,4000,0
4139,4140,220000,1,1,2,48,0,0,2,115294,6000,16000,0,5000,6300,3000,0
7944,7945,50000,2,2,2,29,2,2,0,5804,1300,0,236,650,0,810,1
22782,22783,80000,2,2,1,45,0,0,0,17613,2000,2000,1009,0,2000,0,0
27631,27632,50000,2,2,1,23,2,2,0,54866,1000,1860,1600,452,100,114,1
25863,25864,120000,2,1,1,46,0,0,0,28675,1500,1509,1522,1147,1188,1194,0
10505,10506,50000,1,2,2,25,0,0,0,24724,2000,2000,2000,1500,2000,2000,0
9414,9415,350000,2,1,2,29,0,0,0,42518,1740,1000,452,448,2000,8206,0
20011,20012,170000,2,3,2,33,2,0,0,170348,7622,7354,7464,6127,6550,6100,0
12514,12515,90000,2,2,2,29,0,0,0,89068,4073,5021,3000,3000,3000,2000,0
6756,6757,90000,1,2,1,28,0,0,-2,5580,0,0,0,0,0,776,0
1522,1523,90000,2,1,2,27,0,0,0,81111,3500,3000,2600,2600,3000,1500,0
21033,21034,20000,1,2,1,36,3,2,2,17500,0,2921,0,1702,0,1594,1
19829,19830,30000,2,3,1,48,0,0,2,36956,1553,3345,0,1000,1000,1000,0
21877,21878,140000,2,1,2,24,0,0,0,28872,2000,1522,2000,1500,2500,2000,0
2182,2183,400000,1,2,2,31,0,0,0,185677,7000,8000,8000,7500,9000,5000,0
3496,3497,50000,2,1,2,23,0,0,0,50025,1626,1581,1000,900,700,1000,0
25202,25203,20000,2,1,2,24,-1,-1,-2,1908,1405,0,0,0,0,0,0
24372,24373,50000,1,2,1,47,-1,-1,2,390,390,780,390,0,390,0,0
13090,13091,190000,2,1,2,40,0,0,0,78388,3600,4000,14000,3000,10000,4000,0
14675,14676,200000,2,2,2,35,0,0,0,72450,5556,1000,2000,1000,0,0,0
19015,19016,300000,2,4,1,48,-2,-2,-2,0,0,0,0,0,0,0,0
18885,18886,220000,2,2,2,30,0,0,0,32357,2000,1377,8011,165,2000,1000,0
3375,3376,100000,1,3,1,48,-2,-2,-2,6345,0,0,0,0,0,0,0
17759,17760,180000,2,3,2,52,0,0,0,173065,5902,7693,5464,4893,5095,4862,0
12326,12327,240000,2,1,2,28,0,0,0,133230,5500,5036,4000,6200,5500,5000,0
14237,14238,500000,1,1,2,41,-1,-1,0,326,628,6290,6000,14000,8642,326,1
8842,8843,230000,2,2,2,32,1,2,0,73757,0,1200,1027,80,0,0,0
21445,21446,290000,2,2,2,26,0,0,0,291861,9596,7700,4402,3300,3100,4000,0
18441,18442,200000,2,2,1,25,0,0,0,108174,5000,4200,3820,4000,3760,4006,1
15590,15591,110000,1,2,2,51,0,0,0,110950,2500,2500,1800,1800,2000,2000,0
11843,11844,200000,2,1,1,32,-1,0,0,10760,2000,5000,10000,5000,602,10000,0
22980,22981,500000,2,2,1,43,-2,-2,-2,10330,12320,12209,16727,17744,14117,11691,0
18129,18130,270000,1,2,1,40,0,0,0,42598,3036,3092,3111,2000,2000,2000,1
20755,20756,70000,1,2,1,37,0,0,0,57981,15000,3247,3500,837,1000,2500,0
17841,17842,10000,1,2,2,23,-1,-1,-1,1473,1863,0,390,390,780,0,0
27162,27163,70000,1,2,2,31,0,0,0,67958,2500,2486,2700,2700,2500,3000,0
21220,21221,200000,1,2,1,41,2,2,2,1075,11000,980,0,563,0,413,0
18736,18737,80000,2,2,2,25,1,2,0,50120,0,1828,1900,1900,2000,4300,1
24099,24100,80000,1,1,2,27,0,0,0,74640,20024,10000,4000,2000,3000,2500,0
9952,9953,20000,1,1,2,37,2,2,2,14688,2700,1000,1000,0,1500,1500,1
13852,13853,250000,2,1,1,25,-1,-1,0,4769,6720,23393,6000,0,3000,18148,0
29526,29527,60000,1,3,2,46,0,0,0,61548,2700,1500,2000,1000,824,333,0
1760,1761,290000,2,1,1,33,1,2,-1,7064,0,1814,8537,25576,13475,6000,0
14543,14544,140000,1,2,2,39,0,0,0,139079,7000,4800,4659,5000,6100,6000,0
17215,17216,30000,2,2,1,33,0,0,0,11042,1200,1250,1537,600,550,600,0
17604,17605,180000,2,3,1,43,-1,-1,-1,780,0,780,780,0,0,0,0
19193,19194,200000,2,1,2,32,0,0,0,118532,6000,4500,4300,6000,4400,4500,0
21577,21578,150000,2,1,2,25,0,0,0,119788,4728,3610,2377,1714,828,846,0
14751,14752,20000,2,1,1,41,1,3,0,6249,0,0,0,0,3067,0,0
17895,17896,20000,1,1,2,28,0,0,0,3202,2000,3000,2500,0,2000,5,0
10628,10629,260000,2,1,1,52,2,2,2,150,0,0,0,2500,0,0,1
15655,15656,130000,2,2,1,37,0,0,2,41200,2019,4900,0,1000,0,0,1
18759,18760,160000,2,1,1,30,2,0,0,74286,2700,3400,3458,6300,0,3200,1
12085,12086,420000,1,2,1,34,0,0,0,226007,10000,9600,6700,7000,7042,7112,1
8896,8897,130000,2,2,2,33,0,0,0,127781,4700,3500,3200,3200,3300,3100,0
21072,21073,70000,1,2,1,44,0,0,0,14202,1500,1585,1500,1000,600,1500,0
8064,8065,20000,2,2,1,51,-1,-1,-2,10400,0,0,2000,0,0,0,0
11177,11178,50000,2,2,2,30,0,0,0,48779,2400,1700,348,354,362,320,0
16926,16927,90000,1,3,2,50,0,0,0,80926,3451,3243,2390,1840,1690,1954,0
4038,4039,50000,1,3,2,58,0,0,0,7556,1140,1048,163,135,151,2000,0
4863,4864,290000,2,1,1,37,-1,-1,-1,3486,550,1922,550,550,3810,2927,1
26918,26919,120000,1,2,2,34,0,0,2,49206,2000,5100,1800,2400,0,5500,0
20718,20719,50000,1,3,1,44,0,0,0,5789,43134,0,1219,257,2000,2000,0
13208,13209,30000,1,2,2,34,0,0,0,28509,2003,1504,2017,2000,1000,1100,0
27703,27704,110000,2,1,2,25,2,2,-1,2729,4340,5,1426,5660,0,0,1
4505,4506,50000,2,3,2,51,2,2,2,33384,2000,2000,0,2000,2000,2000,0
11958,11959,480000,2,2,2,48,-1,-1,-1,2475,1000,3652,7626,1740,302823,19608,0
10809,10810,380000,1,1,1,35,1,-1,-1,-6,15105,1300,0,0,0,0,0
14752,14753,200000,2,1,2,26,0,-1,0,14513,84387,5000,4000,4000,4000,3000,0
11299,11300,260000,2,3,1,41,0,0,2,137614,5700,9000,4500,0,5000,3700,1
5473,5474,220000,1,1,2,37,0,0,0,34339,1294,2000,2000,30000,3000,2000,0
20134,20135,130000,2,2,1,37,0,0,0,33346,5448,5542,4500,5465,4500,5662,0
2799,2800,100000,1,2,2,43,0,0,0,47730,1808,1728,1641,1673,1689,1754,0
2235,2236,140000,2,2,1,26,0,0,0,37283,7023,5080,10000,6000,902,18542,0
5716,5717,280000,2,1,1,41,0,0,0,99755,3000,3007,5000,2000,1700,2000,0
17811,17812,20000,1,2,2,22,0,0,2,8785,1142,2000,1000,1000,1000,1000,0
3168,3169,20000,1,2,2,33,-1,0,0,3010,1272,19288,681,917,1000,889,0
8298,8299,30000,2,2,1,24,0,0,2,26755,1507,2172,1523,0,2000,2000,1
17381,17382,220000,2,2,1,41,0,0,0,143660,5005,4500,4006,3000,3000,3000,0
29263,29264,80000,1,3,2,23,-1,2,-1,1053,0,9387,125,0,0,0,0
15665,15666,60000,2,3,1,42,0,0,0,29243,3032,1454,326,324,1130,199,0
19318,19319,160000,2,2,2,39,0,0,0,32930,14000,40015,1625,32044,27248,3650,0
14644,14645,20000,2,3,1,36,0,0,0,21309,3150,0,800,850,660,650,0
20646,20647,100000,1,2,2,31,1,2,0,36204,2100,0,2000,2000,1000,0,0
9055,9056,340000,2,2,1,42,-1,-1,-1,14087,11013,17025,10734,9200,23818,46291,0
27638,27639,20000,2,2,2,23,0,0,2,15071,1266,2136,1000,0,1881,0,0
22392,22393,500000,2,1,2,33,-2,-2,-2,10361,263,8050,8234,835,87878,5000,0
22308,22309,20000,2,2,2,27,0,0,0,14248,2000,2000,1600,1030,1000,1000,0
8497,8498,50000,1,2,2,26,0,0,0,48065,2500,1862,1150,1200,1200,1202,0
12369,12370,20000,2,2,2,42,2,2,2,18155,0,2344,800,683,0,1500,1
22227,22228,390000,2,1,1,28,0,0,0,60697,5000,5000,5007,5000,5000,5000,0
25385,25386,360000,2,1,2,29,-1,-1,-1,885,10553,2000,2700,2000,4120,4118,0
5689,5690,200000,1,2,2,37,-2,-2,-2,162,536,0,495,0,0,546,0
19072,19073,90000,2,2,1,35,0,0,0,21093,1256,3445,1099,1393,3045,1003,0
6715,6716,50000,2,2,2,25,1,-1,-1,0,870,590,3700,1999,7300,17120,0
